floor,building,num_strongest_APs,min_AP_strength,min_strong_overlap,gain_error
1,0,5,-70,5,7.5553
1,0,5,-70,6,7.5553
1,0,7,-70,2,5.9468
1,0,7,-70,3,4.7721
1,0,7,-70,4,4.1502
1,0,7,-70,5,4.1382
1,0,7,-70,6,4.9139
1,0,10,-70,2,6.1236
1,0,10,-70,3,5.9892
1,0,10,-70,4,6.0998
1,0,10,-70,5,5.9798
1,0,10,-70,6,6.0461
2,0,2,-100,2,7.2841
2,0,2,-100,3,7.2841
2,0,2,-100,4,7.2841
2,0,2,-100,5,7.2841
2,0,2,-100,6,7.2841
2,0,3,-100,2,0.06708
2,0,3,-100,3,7.2841
2,0,3,-100,4,7.2841
2,0,3,-100,5,7.2841
2,0,3,-100,6,7.2841
2,0,4,-100,2,0.5022
2,0,4,-100,3,0.40989
2,0,4,-100,4,7.2841
2,0,4,-100,5,7.2841
2,0,4,-100,6,7.2841
2,0,5,-100,2,0.67876
2,0,5,-100,3,0.75548
2,0,5,-100,4,0.55401
2,0,5,-100,5,7.2841
2,0,5,-100,6,7.2841
2,0,7,-100,2,0.5436
2,0,7,-100,3,0.81988
2,0,7,-100,4,0.83955
2,0,7,-100,5,0.48903
2,0,7,-100,6,0.72252
2,0,10,-100,2,0.29503
2,0,10,-100,3,0.21777
2,0,10,-100,4,0.22211
2,0,10,-100,5,0.45923
2,0,10,-100,6,0.70272
2,0,2,-90,2,7.2841
2,0,2,-90,3,7.2841
2,0,2,-90,4,7.2841
2,0,2,-90,5,7.2841
2,0,2,-90,6,7.2841
2,0,3,-90,2,0.29822
2,0,3,-90,3,7.2841
2,0,3,-90,4,7.2841
2,0,3,-90,5,7.2841
2,0,3,-90,6,7.2841
2,0,4,-90,2,0.8522
2,0,4,-90,3,0.70156
2,0,4,-90,4,7.2841
2,0,4,-90,5,7.2841
2,0,4,-90,6,7.2841
2,0,5,-90,2,1.0674
2,0,5,-90,3,1.0776
2,0,5,-90,4,0.39685
2,0,5,-90,5,7.2841
2,0,5,-90,6,7.2841
2,0,7,-90,2,1.102
2,0,7,-90,3,1.1837
2,0,7,-90,4,1.1185
2,0,7,-90,5,0.68194
2,0,7,-90,6,0.86859
2,0,10,-90,2,1.2642
2,0,10,-90,3,1.0288
2,0,10,-90,4,0.83927
2,0,10,-90,5,0.90219
2,0,10,-90,6,0.97986
2,0,2,-80,2,7.2841
2,0,2,-80,3,7.2841
2,0,2,-80,4,7.2841
2,0,2,-80,5,7.2841
2,0,2,-80,6,7.2841
2,0,3,-80,2,0.72892
2,0,3,-80,3,7.2841
2,0,3,-80,4,7.2841
2,0,3,-80,5,7.2841
2,0,3,-80,6,7.2841
2,0,4,-80,2,1.0448
2,0,4,-80,3,0.29417
2,0,4,-80,4,7.2841
2,0,4,-80,5,7.2841
2,0,4,-80,6,7.2841
2,0,5,-80,2,1.247
2,0,5,-80,3,1.0306
2,0,5,-80,4,0.05293
2,0,5,-80,5,7.2841
2,0,5,-80,6,7.2841
2,0,7,-80,2,1.6638
2,0,7,-80,3,1.2567
2,0,7,-80,4,1.192
2,0,7,-80,5,1.1394
2,0,7,-80,6,1.9514
2,0,10,-80,2,3.4597
2,0,10,-80,3,2.7701
2,0,10,-80,4,2.2657
2,0,10,-80,5,1.8019
2,0,10,-80,6,1.3628
2,0,2,-70,2,7.2841
2,0,2,-70,3,7.2841
