floor,building,prox_threshold,min_AP_overlap,gain_error
-1,2,5,4,87.079
-1,2,5,5,87.079
-1,2,7,1,91.351
-1,2,7,2,91.351
-1,2,7,3,91.351
-1,2,7,4,91.704
-1,2,7,5,92.044
-1,2,10,1,172.62
-1,2,10,2,172.66
-1,2,10,3,172.72
-1,2,10,4,172.85
-1,2,10,5,172.93
0,-1,2,1,41.535
0,-1,2,2,41.535
0,-1,2,3,41.535
0,-1,2,4,41.535
0,-1,2,5,41.535
0,-1,3,1,40.716
0,-1,3,2,40.716
0,-1,3,3,40.716
0,-1,3,4,40.716
0,-1,3,5,40.716
0,-1,4,1,40.447
0,-1,4,2,40.559
0,-1,4,3,40.559
0,-1,4,4,40.499
0,-1,4,5,40.529
0,-1,5,1,38.274
0,-1,5,2,38.292
0,-1,5,3,38.292
0,-1,5,4,38.259
0,-1,5,5,38.282
0,-1,7,1,30.272
0,-1,7,2,30.279
0,-1,7,3,30.275
0,-1,7,4,30.569
0,-1,7,5,30.88
0,-1,10,1,27.222
0,-1,10,2,27.362
0,-1,10,3,26.592
0,-1,10,4,26.882
0,-1,10,5,28.175
1,-1,2,1,78.473
1,-1,2,2,78.473
1,-1,2,3,78.473
1,-1,2,4,78.473
1,-1,2,5,78.473
1,-1,3,1,78.473
1,-1,3,2,78.473
1,-1,3,3,78.473
1,-1,3,4,78.473
1,-1,3,5,78.473
1,-1,4,1,77.202
1,-1,4,2,77.202
1,-1,4,3,77.202
1,-1,4,4,77.202
1,-1,4,5,77.202
1,-1,5,1,76.575
1,-1,5,2,76.575
1,-1,5,3,76.575
1,-1,5,4,76.575
1,-1,5,5,76.575
1,-1,7,1,67.51
1,-1,7,2,67.51
1,-1,7,3,67.51
1,-1,7,4,67.51
1,-1,7,5,67.51
1,-1,10,1,53.736
1,-1,10,2,53.736
1,-1,10,3,53.736
1,-1,10,4,53.736
1,-1,10,5,53.736
2,-1,2,1,25.508
2,-1,2,2,25.508
2,-1,2,3,25.508
2,-1,2,4,25.508
2,-1,2,5,25.508
2,-1,3,1,25.508
2,-1,3,2,25.508
2,-1,3,3,25.508
2,-1,3,4,25.508
2,-1,3,5,25.508
2,-1,4,1,25.559
2,-1,4,2,25.559
2,-1,4,3,25.559
2,-1,4,4,25.559
2,-1,4,5,25.559
2,-1,5,1,23.445
2,-1,5,2,23.445
2,-1,5,3,23.445
2,-1,5,4,23.445
2,-1,5,5,23.445
2,-1,7,1,21.966
2,-1,7,2,21.966
2,-1,7,3,21.966
2,-1,7,4,21.966
2,-1,7,5,21.966
2,-1,10,1,31.802
2,-1,10,2,31.802
2,-1,10,3,31.802
2,-1,10,4,31.802
2,-1,10,5,31.802
3,-1,2,1,33.07
3,-1,2,2,33.07
3,-1,2,3,33.07
3,-1,2,4,33.07
3,-1,2,5,33.07
3,-1,3,1,34.443
3,-1,3,2,34.443
3,-1,3,3,33.882
3,-1,3,4,33.882
3,-1,3,5,33.882
3,-1,4,1,36.848
3,-1,4,2,36.848
3,-1,4,3,36.829
3,-1,4,4,36.835
3,-1,4,5,36.867
3,-1,5,1,30.146
3,-1,5,2,29.977
3,-1,5,3,29.76
3,-1,5,4,29.315
3,-1,5,5,28.587
3,-1,7,1,39.393
3,-1,7,2,39.053
3,-1,7,3,38.695
3,-1,7,4,38.332
3,-1,7,5,37.616
3,-1,10,1,112.97
3,-1,10,2,112.5
3,-1,10,3,112.22
3,-1,10,4,111.47
3,-1,10,5,110.57
